,Прибыль в расчете на 1 работника,"Возраст компании, лет",Чистые активы на 1 работника,Налоговая нагрузка,Налоги на 1 работника,Кредиторская задолженность на 1 работника,Фондовооруженность,Доля внеоборотных активов в общих,"2021, Коэффициент оборачиваемости совокупных активов, %","2021, Соотношение чистого долга к капиталу, %","2021, Коэффициент концентрации собственного капитала (автономии), %","2021, Коэффициент маневренности собственных средств, %","2021, Доля себестоимости как процент от выручки, %"
128,83826.8156424581,29.5,1245854.7486033519,0.07458446614173228,66146.83798882681,339508.37988826813,903413.4078212291,0.5164955526771622,0.4655,0.1415,0.6861,0.2472,0.9055
129,896855.2631578947,10.5,2097907.8947368423,0.03861450709586211,93442.02631578948,207302.63157894736,1157894.7368421052,0.30366398200100764,0.7424,0.6685,0.5502,0.4481,0.6294
130,1319500.0,14.0,3331000.0,0.021419207317073172,63229.5,6500.0,375500.0,0.11250936329588015,1.0313,-0.0135,0.9958,0.8873,0.553
131,54500.0,10.5,174000.0,0.020994575045207957,40635.0,173500.0,0.0,0.0,0.7779,1.0142499999999999,0.0634,1.0,0.9718
132,1637500.0,17.0,3952000.0,0.04134939599097305,155742.5,665000.0,0.0,0.0,0.8672,-0.0841,0.8559,1.0,0.5652
133,41000.0,8.5,436000.0,0.15206276150627615,181715.0,757000.0,0.0,0.0,1.1716,-0.2362,0.3655,1.0,0.9657
134,157600.0,13.0,2415440.0,0.02765653007377855,78195.52,58220.0,431520.0,0.18182481272656986,1.0277,-0.0033,0.8809,0.7936,0.9443
135,247500.0,13.0,501000.0,0.009425363974742031,165066.0,3284331.8965517236,791500.0,0.13876558867047137,2.3514,-0.83215,0.0353,-1.1736,0.9938
136,1356419.3548387096,30.0,8773064.516129032,0.017144539345784027,94731.32258064517,143483.87096774194,2979064.5161290322,0.32139732275110405,0.6115,-0.0286,0.9368,0.6569,0.7545
139,2819470.8095297236,15.0,13879430.555555556,0.035964264574134513,281006.78125,278000.0,8717218.75,0.44888563474566723,0.4181,0.3178,0.7472,0.3993,0.35914
140,2765617.008069522,17.0,11285382.371198013,0.052487798633306715,275118.72253258846,971718.8081936685,8748011.723602485,0.569554031492559,0.327,0.2877,0.7276,0.2172,0.3918
141,2819470.8095297236,17.0,10999207.83847981,0.03040423069111858,205891.45605700713,143077.1971496437,8748011.723602485,0.5537078620699553,0.4049,0.5213,0.6515,0.1502,0.4006
142,2436962.2641509436,10.0,10175025.157232704,0.036401533616568824,203261.5849056604,740257.8616352201,6928647.798742139,0.5191559647832352,0.4682,0.2438,0.7589,0.3159,0.3717
143,2169207.2699149265,18.5,10196836.04021655,0.04565735596255466,234103.13147718486,2094575.4060324826,8748011.723602485,0.5884164261856777,0.3232,0.3692,0.635,0.0734,0.4818
144,2457656.5656565656,8.0,7965318.181818182,0.04058852502461089,284655.3207070707,917702.0202020202,8748011.723602485,0.5159397631814654,0.4354,1.0142499999999999,0.4439,-0.1624,0.3818
147,22416.666666666668,13.5,547500.0,0.10024064030330157,441045.06678921566,2545166.6666666665,3028750.0,0.4901088231724584,0.9613,0.3213,0.0886,-1.1736,0.9965
150,1117000.0,18.5,13879430.555555556,0.018292471512515014,441045.06678921566,2272500.0,0.0,0.0,1.6366,0.0757,0.8205,1.0,0.9637
152,1533863.6363636365,9.0,8502000.0,0.021884916520958732,257155.72727272726,837681.8181818182,8748011.723602485,0.5239397880642204,0.71,-0.0395,0.3988,-0.3138,0.6721
153,-852275.7575757576,9.0,-2505350.0,0.0854097510373444,441045.06678921566,3284331.8965517236,1314000.0,0.24048442906574394,1.0225,-0.1817,-0.6814250000000001,1.2326,1.4744000000000002
154,-463708.3333333333,3.5,5784458.333333333,0.04947192061551737,28666.916666666668,3284331.8965517236,8748011.723602485,0.6602110810174282,0.042170000000000006,-0.0539,0.1022,-1.1736,1.4004
157,160936.55589123868,21.5,4130969.7885196377,0.04380577714641831,212784.64350453173,1882658.6102719032,8748011.723602485,0.6679615757345776,0.2263,1.0142499999999999,0.1837,-1.1736,0.8553
159,-252704.69798657717,3.5,1231677.8523489933,0.19873234229931233,407700.067114094,529664.4295302014,4310563.758389262,0.5743643657687192,0.4063,1.0142499999999999,0.163,-1.1736,0.963
160,2819470.8095297236,17.0,10075375.0,0.025755736834220812,118201.125,76375.0,4073125.0,0.42128746384392884,0.4611,-0.0727,0.9921,0.5754,0.35914
164,180536.58536585365,29.5,3280207.3170731706,0.0387336942962908,70054.60975609756,225451.21951219512,1383682.9268292682,0.36989516768993025,0.4719,0.2602,0.7489,0.5061,0.8234
165,2819470.8095297236,9.0,8462000.0,0.0181678776064741,153782.0,78500.0,46500.0,0.0050442045885990125,1.2158,-0.0739,0.9179,0.9945,0.35914
167,262111.11111111112,25.0,2940000.0,0.03143310162733053,129630.11111111111,28444.444444444445,1630777.7777777778,0.4470197666981391,1.1791,0.1378,0.8059,0.4453,0.9239
168,49000.0,11.5,53500.0,0.10265345528455284,50505.5,57000.0,0.0,0.0,2.3514,-0.1589,0.4842,1.0,0.9004
170,614833.3333333334,22.5,2205333.3333333335,0.02808977855023823,78115.33333333333,6750.0,1604333.3333333333,0.6749404010657691,1.2789,-0.2044,0.9278,0.2725,0.7789
171,1597460.5263157894,21.0,4841671.052631579,0.039616947354666136,135632.7894736842,190697.36842105264,1769486.8421052631,0.5756815118877201,0.6932,0.1888,0.8116,0.2907,0.4646
172,-852275.7575757576,6.0,13879430.555555556,0.08243711656441718,107498.0,3284331.8965517236,8748011.723602485,0.46891233547761957,0.0476,0.3254,0.6406,0.268,0.8001
173,2819470.8095297236,23.5,13879430.555555556,0.05564522414646851,441045.06678921566,1108722.2222222222,4540666.666666667,0.2582206495640086,0.5281,0.0239,0.8952,0.7115,0.5361
174,2819470.8095297236,7.0,9362750.0,0.043697184308347466,441045.06678921566,3284331.8965517236,3438250.0,0.2329161515402984,2.3514,-0.0025,0.6343,0.6328,0.9645
178,-430437.5,20.5,13879430.555555556,0.03079763501491802,70320.625,1045687.5,5085625.0,0.3731202623700637,0.1133,0.0165,0.9311,0.5993,0.7184
179,343727.2727272727,30.0,8152090.909090909,0.018430031121760445,60834.181818181816,113363.63636363637,2943909.090909091,0.34614894430519566,0.3951,0.0313,0.9524,0.604,0.8959
181,2819470.8095297236,14.5,11218666.666666666,0.07832285039583119,441045.06678921566,3284331.8965517236,8748011.723602485,0.6078793779990788,1.718,-0.2432,0.7378,0.1751,0.643
183,-852275.7575757576,7.5,-2505350.0,0.1938273086492024,441045.06678921566,3284331.8965517236,6273000.0,0.342431355423331,0.4722,-0.83215,-0.6814250000000001,1.0653,1.0992
184,112500.0,19.5,404700.0,0.07253558088305719,75734.4,352600.0,0.0,0.0,1.8542,-0.2637,0.5344,1.0,0.8923
185,131500.0,12.0,123000.0,0.019619734174363596,43546.0,447500.0,0.0,0.0,2.3514,-0.83215,0.1583,1.0,0.9408
186,271000.0,18.5,1062500.0,0.12716512067215519,265311.32352941175,167617.64705882352,712235.2941176471,0.5789977046671767,1.6626,-0.3553,0.8637,0.3297,0.6795
187,110494.54545454546,17.0,2931643.6363636362,0.07728269405478651,237260.4,178970.9090909091,1580170.9090909092,0.43239324805747686,0.8443,0.188,0.8,0.4595,0.928
189,43444.444444444445,30.0,605777.7777777778,0.06442029197080291,49031.0,23000.0,49111.11111111111,0.0781056723802792,1.2576,-0.0758,0.9634,0.9189,0.9429
190,-70166.66666666667,4.5,-876833.3333333334,0.2082711557218187,61759.333333333336,1261166.6666666667,474500.0,0.09042975574119366,0.042170000000000006,-0.83215,-0.1671,1.4091099999999988,0.5495
