,Прибыль в расчете на 1 работника
5115,649000.0
12672,2476166.6666666665
14034,-186144.53125
16956,560571.4285714285
12754,2819470.8095297236
1365,158076.5306122449
9716,1129734.375
14934,57510.63829787234
13302,2468600.0
11228,44916.666666666664
18677,2819470.8095297236
1115,2819470.8095297236
13828,1022615.3846153846
12704,-355833.3333333333
18410,-323833.3333333333
12681,158000.0
10885,-25500.0
10023,473196.89119170984
13354,165625.0
9695,2819470.8095297236
14872,1436336.1344537814
19879,53000.0
2577,-852275.7575757576
12265,41833.333333333336
12369,435666.6666666667
2169,221000.0
3011,1476428.5714285714
9861,818454.5454545454
5781,240928.57142857142
17659,2819470.8095297236
3829,374000.0
19762,-231250.0
2432,66750.0
11282,84035.08771929824
7412,-28539.68253968254
1563,-103317.0731707317
12211,1320397.0037453184
2731,1161362.3188405796
1488,66444.44444444444
4919,626250.0
14366,508500.0
5511,616943.1818181818
6025,480000.0
11861,396625.0
11303,-78875.0
9666,355000.0
11007,2819470.8095297236
18511,15000.0
11547,1049615.3846153845
2733,221500.0
10554,-248000.0
8541,1607211.7647058824
3143,569500.0
2734,2819470.8095297236
6580,-721116.7512690355
5824,35000.0
17677,50750.0
14747,2819470.8095297236
13369,3000.0
18407,2819470.8095297236
8825,250263.15789473685
5483,293000.0
16196,39000.0
1467,161428.57142857142
7087,134250.0
17292,148000.0
7045,1936258.064516129
11570,2819470.8095297236
15230,43500.0
16382,-768463.768115942
16561,2819470.8095297236
12147,-167000.0
4701,-26500.0
7808,350617.02127659577
7791,-642677.4193548387
16750,2161850.0
1397,-852275.7575757576
1598,-37333.333333333336
15529,2720727.272727273
17765,-852275.7575757576
15338,1149714.2857142857
5828,-852275.7575757576
16390,545560.0
9340,140410.7142857143
551,79548.3870967742
7057,1333.3333333333333
5433,1078111.111111111
16896,281000.0
5283,1059060.975609756
6290,337000.0
13865,-763916.6666666666
5688,-852275.7575757576
15126,-664500.0
508,397736.84210526315
2663,2691555.5555555555
13782,2000.0
1151,2819470.8095297236
17698,1672376.6233766233
15289,284000.0
5802,-641652.1739130435
1489,72000.0
15422,-295500.0
15397,-424142.85714285716
4216,951750.0
16042,1566600.0
15415,900.0
13272,6565.217391304348
6299,1851947.3684210526
2750,2819470.8095297236
13831,-231363.63636363635
9219,1936214.2857142857
17374,2819470.8095297236
10823,2819470.8095297236
8796,42142.857142857145
18784,-418000.0
19155,785800.0
17964,821278.6885245901
7762,2051333.3333333333
12432,-531521.7391304348
307,380000.0
448,668000.0
6990,21000.0
1296,2819470.8095297236
19256,566000.0
12080,364840.0
15867,486145.45454545453
12296,2079000.0
8584,144829.59641255604
15091,-211000.0
15089,-353250.0
7498,-356597.82608695654
9044,600000.0
15369,1361000.0
7227,917894.7368421053
8512,727486.4864864865
11520,193000.0
11032,-105000.0
